	BBP
2011-06-02	9.470483557797424
2011-06-03	12.426344166198904
2011-06-06	-2.2274722479562055
2011-06-07	6.853508025955176
2011-06-08	4.326048425262076
2011-06-09	19.6711421117405
2011-06-10	23.512308815932162
2011-06-13	38.53171364740181
2011-06-14	38.5146252202217
2011-06-15	20.837339141957255
2011-06-16	15.836489278231976
2011-06-17	27.568541294849897
2011-06-20	21.26600927780162
2011-06-21	35.447280416000474
2011-06-22	31.15805059062523
2011-06-23	16.47731568094649
2011-06-24	5.442498565253972
2011-06-27	18.503811716362847
2011-06-28	6.09431204365311
2011-06-29	41.04951852088228
2011-06-30	62.459003064486986
2011-07-01	96.85249072252327
2011-07-05	72.99677225730974
2011-07-06	54.32245133536332
2011-07-07	80.62361600776936
2011-07-08	58.907561657148534
2011-07-11	14.287951107809308
2011-07-12	16.30219687800588
2011-07-13	26.63841975666159
2011-07-14	53.89895878827154
2011-07-15	40.415437955361796
2011-07-18	36.073313959670756
2011-07-19	56.6559775662483
2011-07-20	76.43813305492976
2011-07-21	109.18294342233735
2011-07-22	97.46692422411019
2011-07-25	80.85781290820235
2011-07-26	71.55379344512485
2011-07-27	48.64111676739522
2011-07-28	48.215209488378775
2011-07-29	41.58986577726637
2011-08-01	42.78658097723039
2011-08-02	26.92591167563728
2011-08-03	30.101364975117146
2011-08-04	-10.87657456133952
2011-08-05	-5.465254954188085
2011-08-08	-31.051357889825308
2011-08-09	6.939722933782619
2011-08-10	-5.613999204754022
2011-08-11	22.08181433909297
2011-08-12	17.637805646738695
2011-08-15	29.046543440933707
2011-08-16	23.60717208662019
2011-08-17	30.727124456280386
2011-08-18	20.48716177886648
2011-08-19	15.742740424434595
2011-08-22	10.857580708805655
2011-08-23	26.350399383878848
2011-08-24	38.806851529300154
2011-08-25	39.602663927138835
2011-08-26	47.471170733479816
2011-08-29	69.80234455334671
2011-08-30	65.25295449626573
2011-08-31	79.67898978013356
2011-09-01	57.56866516527738
2011-09-02	25.921205794078546
2011-09-06	3.819283218827854
2011-09-07	33.166354866869575
2011-09-08	9.671592047725806
2011-09-09	-4.930247793996937
2011-09-12	7.3653987685978946
2011-09-13	13.124137256110336
2011-09-14	20.895555477222704
2011-09-15	37.0408881452887
2011-09-16	32.94261649153991
2011-09-19	21.78115664716118
2011-09-20	20.079770634709547
2011-09-21	2.788307370020153
2011-09-22	-0.3297445742193048
2011-09-23	9.110021510493647
2011-09-26	32.08799538083399
2011-09-27	33.047797330596026
2011-09-28	22.790309475594857
2011-09-29	35.22821782277308
2011-09-30	18.509523275654065
2011-10-03	2.0505446504556373
2011-10-04	32.302630998423396
2011-10-05	43.40814344925554
2011-10-06	71.41815870643919
2011-10-07	42.32910602075856
2011-10-10	70.75830760719319
2011-10-11	70.6200594587353
2011-10-12	84.90322205213681
2011-10-13	59.621775977246784
2011-10-14	67.20776348554092
2011-10-17	51.570963597718155
2011-10-18	85.88402082784702
2011-10-19	71.81584709171764
2011-10-20	85.33466360797354
2011-10-21	87.15413568013756
2011-10-24	100.00474157982777
2011-10-25	78.35293208216176
2011-10-26	85.64162756408548
2011-10-27	112.6320673826554
2011-10-28	99.82692124900295
2011-10-31	74.76855344330701
2011-11-01	44.83120950783883
2011-11-02	56.632523332261066
2011-11-03	66.25702320391592
2011-11-04	58.133930794871034
2011-11-07	61.01204618774688
2011-11-08	71.70880348375715
2011-11-09	31.604101208799896
2011-11-10	33.33501367047288
2011-11-11	40.96744121506946
2011-11-14	24.497053079906948
2011-11-15	27.73173006887036
2011-11-16	6.974306717756631
2011-11-17	-1.5778771189584724
2011-11-18	6.726563285235801
