	EMA9X21
2010-11-11	0.5450896500112492
2010-11-12	0.5007203495620232
2010-11-15	0.5084386701523655
2010-11-16	0.45571674566985365
2010-11-17	0.3632695870340328
2010-11-18	0.3396122064437179
2010-11-19	0.2900502531699658
2010-11-22	0.15491337345869027
2010-11-23	-0.03782096403057267
2010-11-24	-0.12166737376766434
2010-11-26	-0.24916171950795274
2010-11-29	-0.2948092124189259
2010-11-30	-0.37610176703747555
2010-12-01	-0.3498399564502819
2010-12-02	-0.20328882226958456
2010-12-03	-0.06137365518781479
2010-12-06	0.07240780551142478
2010-12-07	0.10075054410157946
2010-12-08	0.22534979863802107
2010-12-09	0.3685974419620166
2010-12-10	0.5315303199801562
2010-12-13	0.6490900436300748
2010-12-14	0.6475136600367435
2010-12-15	0.5735033145136583
2010-12-16	0.48852300296024964
2010-12-17	0.3818369035948592
2010-12-20	0.3267590694455791
2010-12-21	0.39094320698345797
2010-12-22	0.5516054305203895
2010-12-23	0.6496942216286996
2010-12-27	0.7714007202233262
2010-12-28	0.8393436151971656
2010-12-29	0.8473140185381922
2010-12-30	0.8235231479036997
2010-12-31	0.8119748211167277
2011-01-03	0.9099037685240816
2011-01-04	1.0300356617562656
2011-01-05	1.1554036629840994
2011-01-06	1.202663960913732
2011-01-07	1.1268048328459344
2011-01-10	1.0260562881994275
2011-01-11	0.9548563232165321
2011-01-12	1.0024407791704846
2011-01-13	0.9915487329702586
2011-01-14	1.0135990860433637
2011-01-18	0.9948429958048379
2011-01-19	0.854023239343995
2011-01-20	0.8451720848389499
2011-01-21	0.8790044800200292
2011-01-24	0.8603552314240872
2011-01-25	0.8147856827829543
2011-01-26	0.7788299077206275
2011-01-27	0.7505197093531066
2011-01-28	0.658466479461211
2011-01-31	0.6210011035496379
2011-02-01	0.6860989919130489
2011-02-02	0.6707865654152911
2011-02-03	0.6485450449548225
2011-02-04	0.5289413019844034
2011-02-07	0.52833964706074
2011-02-08	0.5433868135333455
2011-02-09	0.4779049925400827
2011-02-10	0.4652290319533421
2011-02-11	0.5566423509456513
2011-02-14	0.6097312674683195
2011-02-15	0.6667099109853822
2011-02-16	0.8127541987980607
2011-02-17	0.892190877229126
2011-02-18	0.9522868092293777
2011-02-22	0.7703149996072085
2011-02-23	0.6196025017073126
2011-02-24	0.49327336683999334
2011-02-25	0.4731562984484867
2011-02-28	0.45101377055559766
2011-03-01	0.312164408987023
2011-03-02	0.1651437022283062
2011-03-03	0.14576239363599797
2011-03-04	0.07010758023002239
2011-03-07	-0.02000696734213392
2011-03-08	0.041364397466153946
2011-03-09	0.1016096737364407
2011-03-10	0.035576971501434684
2011-03-11	0.009815424939596085
2011-03-14	-0.056007798467916814
2011-03-15	-0.17486091006487925
2011-03-16	-0.34102933831604076
2011-03-17	-0.3782240254384064
2011-03-18	-0.27403427015578785
2011-03-21	-0.20527746140195546
2011-03-22	-0.1679038284645884
2011-03-23	-0.12457929853806604
2011-03-24	-0.07662365316353004
2011-03-25	-0.02726275374271836
2011-03-28	0.02004085954047241
2011-03-29	0.05953365357296292
2011-03-30	0.13299143734980845
2011-03-31	0.14690634487206466
2011-04-01	0.1805370713451282
2011-04-04	0.22680419839198152
2011-04-05	0.2814202144553022
2011-04-06	0.42729694951125907
2011-04-07	0.500529175924477
2011-04-08	0.4857793555718217
2011-04-11	0.468401679759495
2011-04-12	0.42433788499127445
2011-04-13	0.3431217090690879
2011-04-14	0.14363500459715084
2011-04-15	-0.01278505328420465
2011-04-18	-0.2234035489563837
2011-04-19	-0.30051875400967276
2011-04-20	-0.35986583488461577
2011-04-21	-0.3844843330684924
2011-04-25	-0.4030344347827892
2011-04-26	-0.3546520644880502
2011-04-27	-0.2737439394648149
2011-04-28	-0.17283359509401208
2011-04-29	-0.11921091564081365
2011-05-02	-0.1260451321177527
2011-05-03	-0.050178287153386236
2011-05-04	-0.038817340140134604
2011-05-05	-0.0647581543097715
2011-05-06	-0.09553768908205029
2011-05-09	-0.12491302911494273
2011-05-10	-0.12327849406405278
2011-05-11	-0.21693922322587156
2011-05-12	-0.29638449492126995
2011-05-13	-0.446955883519351
2011-05-16	-0.5766995137085189
2011-05-17	-0.5634821626877553
2011-05-18	-0.5152607771692388
2011-05-19	-0.4784586644799731
2011-05-20	-0.5346306068063242
2011-05-23	-0.626853281101738
2011-05-24	-0.704345166387462
2011-05-25	-0.7555329890245801
2011-05-26	-0.7604780784147565
2011-05-27	-0.7142476329091707
2011-05-31	-0.6207300792158392
2011-06-01	-0.6963404023622175
2011-06-02	-0.7550326300620966
2011-06-03	-0.7883536569336016
2011-06-06	-0.9073443372595378
2011-06-07	-0.9566585713645992
2011-06-08	-1.0100387675980116
2011-06-09	-0.9683145690841712
2011-06-10	-0.9138185234543883
2011-06-13	-0.7921156080244671
2011-06-14	-0.6957477493840827
2011-06-15	-0.7101029840204447
2011-06-16	-0.7414503731374325
2011-06-17	-0.7049493766200214
2011-06-20	-0.6994041177597126
2011-06-21	-0.6368365819020454
2011-06-22	-0.6026631634255182
2011-06-23	-0.6323068015621232
2011-06-24	-0.7034602329057975
2011-06-27	-0.7009634514665493
2011-06-28	-0.7224028203931496
2011-06-29	-0.6299514010598983
2011-06-30	-0.4988967069800765
2011-07-01	-0.30069517115875044
2011-07-05	-0.2088995965403555
2011-07-06	-0.18852282233533657
2011-07-07	-0.08954838978013413
2011-07-08	-0.07702974083489522
2011-07-11	-0.2050701826777228
2011-07-12	-0.2988255916056417
2011-07-13	-0.33757815097857247
2011-07-14	-0.2821695005047218
2011-07-15	-0.2760146728781976
2011-07-18	-0.2828836223702069
2011-07-19	-0.22273588341221995
2011-07-20	-0.11494232992617981
2011-07-21	0.1062701149714087
2011-07-22	0.25431061826108703
2011-07-25	0.304988973048836
2011-07-26	0.30902797702084683
2011-07-27	0.2256194712364774
2011-07-28	0.16194747664354736
2011-07-29	0.08760516281881792
2011-08-01	0.03085429525867056
2011-08-02	-0.07425277742614611
2011-08-03	-0.14279877978917455
2011-08-04	-0.3995086218752064
2011-08-05	-0.6127610775400427
2011-08-08	-1.130894480250106
2011-08-09	-1.2395206916710606
2011-08-10	-1.5108939237650105
2011-08-11	-1.4353309303103359
2011-08-12	-1.4371881908831057
2011-08-15	-1.309862776919978
2011-08-16	-1.2829013344573355
2011-08-17	-1.1832402611307344
2011-08-18	-1.2354278394181009
2011-08-19	-1.339283753819494
2011-08-22	-1.4897374414965157
2011-08-23	-1.4269812608707682
2011-08-24	-1.245213470218033
2011-08-25	-1.101287559375713
2011-08-26	-0.925318032229022
2011-08-29	-0.6288798664454447
2011-08-30	-0.46294520284928353
2011-08-31	-0.28148462563663657
2011-09-01	-0.2774863035613251
2011-09-02	-0.4462605001690676
2011-09-06	-0.6863460886079835
2011-09-07	-0.7022929513161458
2011-09-08	-0.8407580705345126
2011-09-09	-1.0767189195927003
2011-09-12	-1.1927501021878726
2011-09-13	-1.247813687671858
2011-09-14	-1.2324451373389067
2011-09-15	-1.091950825508782
2011-09-16	-1.0102831291685277
2011-09-19	-1.0317923840270922
2011-09-20	-1.0548574351237434
2011-09-21	-1.2542709734645143
2011-09-22	-1.4899486200129886
2011-09-23	-1.6004423880480054
2011-09-26	-1.43352072138169
2011-09-27	-1.2947864052356088
2011-09-28	-1.2859835133978166
2011-09-29	-1.1591089827267353
2011-09-30	-1.1799437061890963
2011-10-03	-1.3296427104128306
2011-10-04	-1.2157939369316715
2011-10-05	-1.0487076664557122
2011-10-06	-0.7433956939921806
2011-10-07	-0.6878343377643006
2011-10-10	-0.46364727254831095
2011-10-11	-0.29217218379944043
2011-10-12	-0.0661508068220904
2011-10-13	-0.07184160889633873
2011-10-14	-0.04303779933404428
2011-10-17	-0.11294343239175575
2011-10-18	0.03354235142794337
2011-10-19	0.07401306054358514
2011-10-20	0.19591879334507567
2011-10-21	0.31156080277624554
2011-10-24	0.5132720677666214
2011-10-25	0.5350025865275008
2011-10-26	0.6152610985985518
2011-10-27	0.9646261783120735
2011-10-28	1.1662621239525919
2011-10-31	1.085519863982924
2011-11-01	0.7888796773871078
2011-11-02	0.6580708202740269
2011-11-03	0.629517636550446
2011-11-04	0.5536695459051018
2011-11-07	0.5168042155102128
2011-11-08	0.5645966258501076
2011-11-09	0.32399844017275825
2011-11-10	0.1649452425860929
2011-11-11	0.10408936720331496
2011-11-14	-0.020607439751493928
2011-11-15	-0.09455770954133413
2011-11-16	-0.27752958376046166
2011-11-17	-0.5102813180332717
2011-11-18	-0.6571865553583436
2011-11-21	-0.8273506087700646
2011-11-22	-0.9895180910918633
2011-11-23	-1.1996486583969528
2011-11-25	-1.3197500044661652
2011-11-28	-1.3100100742534764
2011-11-29	-1.3434717600214583
2011-11-30	-1.0859262267614156
2011-12-01	-0.9334217257220914
2011-12-02	-0.6059016935894519
2011-12-05	-0.2312343667004484
2011-12-06	0.01600067770428737
2011-12-07	0.2773352431312901
2011-12-08	0.2725361044758152
2011-12-09	0.36663607446318025
2011-12-12	0.3062244876455722
2011-12-13	0.17708470654830322
2011-12-14	0.1028542347221375
2011-12-15	0.07427108730815846
2011-12-16	0.0663147785105771
2011-12-19	-0.06831371476967618
2011-12-20	-0.0035287332504125857
2011-12-21	0.05565177573178559
2011-12-22	0.2176802954328032
2011-12-23	0.34465230438931727
2011-12-27	0.37291099627788427
2011-12-28	0.34631893590088225
2011-12-29	0.40250072951940297
2011-12-30	0.41858747525070683
